100,79476,81018,82530,82832,81836,81054,83420,79302,83990,116528,222930,79098,130734,217996,83350,81202,80638,80522,80662,80780,81688,80484,80774,78908,78132,81868,76996,77870,208268,83272,83584,77264,154342,75418,76414,120294,75210,270622,78668,76668,167564,75866,75634,118404,100588,176634,147374,81988,78136,152050
90,395278573,398221032,400363674,395012768,398193666,398393808,400687516,398569164,399258684,402628020,396095168,397509374,322086803,303106322,302751068,299711330,308371886,310062618,304782930,316522580,311356116,304193774,304994308,302107180,305677166,305157062,313148460,305691324,301292716,299781054,308114430,307714416,307141074,312241520,309410204,305181244,309721744,303256522,298749852,301303056,305417300,302418376,306372734,303823770,308511464,308591934,318858236,310621440,307806808,307796292
80,555814850,548484568,564112492,552167502,556213242,558064826,558684982,555680784,557052088,550578168,555828344,551035598,564855176,569485950,562846128,560050210,555281860,550014870,554726476,549754190,555486986,561362272,559931942,559509652,551507636,564939966,553334548,556566952,560412212,572432864,563893514,555680918,555180712,557550124,587699218,545035330,548960314,539903228,536146220,537201428,540853854,543575752,555079365,539696198,544068748,540837602,550179398,540348384,539778104,542864250
70,773866654,760097854,753441704,780760146,735712706,738332886,746288808,740714048,738100024,736167552,736703330,731961884,742390882,736512334,729265120,751874064,736311708,734998020,746133286,738363996,739107054,744557998,737631532,735517458,732109314,727160290,741258602,737114528,732425060,738573642,732634412,740734550,738215626,737033778,734290158,730324066,735869866,733159050,744095772,741387230,735206128,746112650,737177612,740328838,737421020,744576516,739099042,743316862,737711574,739848730
60,946004212,924360592,921035554,922162788,927482946,924621570,916014974,929277826,927709652,937853598,935341922,932657352,937812152,938073972,943340456,961297386,950669384,940765438,945191936,949547802,934627792,950890904,937097012,949693612,947081382,947939064,939779498,939202520,940627120,944696216,960486524,941186400,958526174,946813510,939203066,928087910,933552848,952696360,947559376,941113312,935806030,943123466,939474966,945595880,949701986,938691894,952011132,950998346,939767958,960880464
50,1098710740,1125019706,1102821186,1112663184,1115547680,1116398234,1105505798,1113567226,1098781958,1120919886,1108281482,1104707480,1112204110,1119294346,1128074408,1138159236,1125674552,1126407624,1119476826,1123787216,1131444156,1130405840,1121266660,1117616570,1132297128,1143181298,1112633560,1132174770,1151271982,1127970220,1141754436,1132425446,1130470322,1125820852,1120774194,1125464502,1156389620,1114729152,1100863576,1171665022,1165588362,1174876150,1153437006,1175766680,1177408236,1157979520,1172927178,1174344062,1161626180,1157730868
40,1315979746,1329855482,1465953259,1774257615,1574827472,1601043516,1564431452,1563601910,1577813744,1561921686,1574768398,1558807056,1599278330,1614707112,1628558430,1650754976,1640002754,1643450360,1651912546,1644871300,1656271234,1650859684,1652882992,1644248782,1656143660,1655510521,1666300985,1640210932,1642851794,1650946582,1650585806,1643821470,1645085610,1646538808,1666255670,1672849698,1643754974,1652865426,1652490080,1639624500,1643523632,1647432040,1690185948,1640307396,1704682539,1595981468,1588152332,1581362618,1625297850,1640621712
30,1794396068,1797544048,1762068220,1813095964,1777399976,1797064250,1810155740,1794170956,1770388516,1787997960,1793250064,1788984060,1786430898,1777477466,1768186456,1807444412,1775633168,1782324530,1788306536,1782688172,1801078178,1790492880,1788759868,1785489600,1842022006,1787564134,1780874920,1808229432,1792600078,1792469468,1787684238,1786687892,1790536348,1801238940,1789595174,1770461544,1797952984,1802029446,1792735132,1804530070,1795773364,1804390096,1833657932,1814289338,1819698874,1822452530,1812977670,1808527624,1815148000,1814504278
20,1949517866,1960355234,1941799618,1958512998,1962047402,1953210628,1946476034,1950383602,1962574314,1983282748,1958907228,1959742756,1952583762,1971259762,1949202420,1965636770,1961703070,1956216778,1962047072,1933884452,1937176864,1938332928,1962161464,1937265980,1931094880,1936251240,1955099892,1960924196,1942201910,1958818124,1927725536,1902664220,1885693714,1874857134,1863720276,1878727580,1885365846,1864839646,1849885756,1891164536,1904239486,1881593282,1902730310,1924719082,1862020356,1866851484,1875388794,1880298746,1873861462,1890585626
10,2036512448,2049962898,2053370070,2062510042,2042796530,2041243406,2046189598,2055308706,2045797396,2043630986,2054423842,2060207556,2042664438,2053925500,2052560362,2060661946,2051828840,2084481828,2050000406,2042080558,2051680802,2068245336,2080829456,2077202836,2047112834,2072473120,2080330266,2062891734,2060265748,2085588898,2054004086,2072035896,2074866986,2080824116,2635344854,2686091982,2615939440,1915290324,1756796754,1735736102,1700185228,1756550842,1843196440,1710003852,1712759282,1718974394,1717051294,1737716240,1699419562,1715745416
