100,67890,72152,70234,70696,69788,83190,72932,79530,65226,64840,82762,65908,64216,63532,65428,64838,64022,66074,65164,64110,63856,64984,64118,65386,63522,65476,65938,63908,62702,64298,69720,65794,63092,63470,150392,63332,64950,63278,65158,66056,64860,63950,63616,61862,71224,64470,62614,63036,63396,62570,62716,62298,97308,63254,63118,64398,63622,62566,65472,69952
90,113008052,111373783,113809513,114078424,112703967,113381924,110904444,110484450,112053066,113689997,112519506,112750818,111820322,112901310,127832789,117227658,115495697,111058534,112637334,112540732,114307203,112992339,115346552,111482342,111706176,112417778,114704702,112614245,112318062,112347364,111432344,113773418,111918830,111629749,112124962,111518854,113529162,113556142,113610334,113459249,116599095,114646624,120138452,112619960,113508224,113132374,113618353,113008154,110773202,112146171,112364027,112322407,112083116,111508986,111253848,112719486,111113478,112463426,117567167,112727750
80,205356506,204585902,206435766,205296724,206629240,203073348,206695590,204371571,205832142,208382784,203514406,203992736,203996190,205704615,205344870,204688220,206232484,205617186,207003834,211739764,205794581,204316828,203287964,206987972,204266610,205235850,205475140,204199230,204619384,209469541,205200202,205504382,206529062,204431758,208963810,205658959,209687012,215143395,206400734,211990626,206677806,205976648,207366428,206901238,205156153,206261923,219341527,205644712,206235694,212801576,206080620,207642920,206891670,207071116,205613804,207167064,205249118,205887034,205700262,212252580
70,288165336,288386186,286555202,287941868,287663230,288177086,290125330,290034298,287025740,286603076,289057190,289825334,289528256,288966430,292535150,289649060,287588200,287562180,292568386,293900152,291690930,293426681,287792852,286080112,284915958,287084895,289861232,288293808,292147638,288952992,298369794,288200880,288570828,290827342,292332886,290830030,289031574,289182220,286688776,289603882,287620374,290024654,288280182,290909283,286322568,286958668,284538290,284567844,284998348,292846451,291695412,289682674,289401386,289167956,288535842,287781172,292946668,290581336,287290034,287544044
60,357964703,355587952,356961993,362736334,363260572,361013328,359427860,359923536,362753528,365119350,363859524,358481886,361683934,359455438,362182744,365259601,358019486,357442202,357195764,360498275,361878970,365967251,362049659,357038171,357349012,359022152,361094441,364461266,356264917,356372318,358505082,359006337,363170340,364839033,358960828,357050086,361913785,363114382,361899998,365884722,360585864,359999036,361085978,361946086,366295864,364045392,363551512,360495639,360169622,357596277,360538451,357944868,361038966,360474300,370574148,362151902,365989712,358372074,357993942,357035742
50,421022996,420689582,426362774,420515528,418038380,418969430,423625723,425351836,422329163,417780445,421427994,420695673,423173790,416732862,420236211,424417478,423869060,426306904,421832073,420947756,421317140,421026169,421846721,416727132,421096370,419933330,423691567,426438252,420897472,423405811,420585004,418995643,425584982,421464028,424134060,423668756,420658936,428402148,422200638,422999184,423934891,418387854,424270440,419335630,428300280,418214226,415524196,423945906,417455916,419922031,424519310,424000318,427711982,421182436,420859022,424521336,427444096,427871536,424286418,422576436
40,479698810,484430940,480196841,486357913,477425914,481775912,487791876,481702680,479884044,478774108,478169083,480761547,479349322,482403052,476916226,481060958,481692654,478175604,473226849,480945416,474708648,479057978,473778952,474485530,490142141,483999442,483486110,477624144,477595069,480386136,475590848,474874778,477254188,475170283,482686036,477699497,477191562,478553274,477679423,477568113,473292328,481627553,482543036,479233656,478967822,480438348,488016579,478329103,488478658,475642855,477992168,497658784,555585886,503804449,483122756,480788896,484551068,478538315,472738434,481308202
30,523657770,522108529,524778792,530139148,525931158,528958918,526740304,540768302,530710728,521463859,526360212,526418568,522224098,520398926,522906494,524646732,525190772,521126290,520170718,526711650,522212650,524449684,518929700,523460944,520584408,519766732,519214240,525007532,527184445,528016746,525216026,536106024,527585728,528545646,526181014,534398953,523797455,529475276,525824466,530423024,525642084,555640640,522903724,534497526,526971582,526272334,527532448,530815912,526963700,523739201,521693615,537374154,535265790,526926785,524013472,530324485,542226728,543431691,552364061,534366869
20,573248202,562263198,565199188,570707378,572413307,570200098,571412064,571223123,569667844,568298486,573912569,571952574,568923758,566101483,577150411,567069510,567868122,566463484,570166546,567243430,562649150,567994250,567080536,563292168,565298630,571016452,564890090,566698823,570698117,571897312,567126552,566761747,574583099,577116944,567698046,569630038,570441710,574207442,569021338,570645198,572671159,571290897,574116600,569641452,578442782,564896095,570044462,570173794,577705827,573794392,578294244,580483990,575549568,571059710,572983183,573070714,572183614,569880666,569529296,575153025
10,646920548,656826986,661698880,659053440,649637048,652038612,648805304,652175000,655049928,654426646,648153256,642992251,651474138,646996991,648046656,651289719,646316430,664466845,671554605,647517572,654241856,648740632,659258552,649645318,652887217,651357712,647672866,645438680,645317383,647377001,650442851,651750620,652801740,647330500,650955640,656762213,652895368,653332688,657763970,648592442,651620702,647741701,653434394,649434970,656259156,655786415,647503900,657810060,671809717,673144591,656609564,666299728,657367672,678568260,675901939,660167642,661146604,650104318,654656224,652853801

writeBackAll = 1
