100,1982286,1396358,1009282,1166760,1036020
90,558838079,557405486,556311933,686195776,560923507
80,1039844888,1030413580,1043842986,1055953212,1035239478
70,1489879223,1466585307,1559653675,1440052008,1471378856
60,1857160633,1825943620,1837947070,1950712550,1826165492
50,2175861069,2142559326,2145360000,2241015263,2158128993
40,2431396938,2421048348,2414718624,2519544622,2411842286
30,2710016968,2676529848,2735251691,2718583631,2693763284
20,3053483138,2915603645,2894592956,2910380870,3036994673
10,3309574386,3289099956,3492347498,3406201111,3356457433

writeBackAll = 0
