50,19796,22314,18602,18328,19056,19688,18456,18650,18350,18906,18748,18852,19628,77690,18872,20032,18452,19926,19160,20310,18662,18590,18416,18204,18762,18962,18828,18140,18548,18822,19026,18032,18440,20442,19002,18542,19708,18484,19308,20276,18806,20842,19386,19280,72622,19448,20298,19252,19530,19274
40,186735304,211219254,186760616,186716985,202529828,171820588,169896112,170818978,169208722,171944698,171369810,171968590,171379672,176700756,174148254,173887148,185294104,182423790,172711436,171281874,173651348,175005002,174576820,179183140,173969798,173949946,175384944,172555534,180065569,172219680,172756126,174355276,173485996,177791032,178331764,174174798,178638248,177395216,173497402,170253600,171806986,188631390,174468588,171874082,174578934,172734026,172502600,176029928,171308176,172680572
30,297216828,297605279,297870012,298239784,304433034,299428530,297470610,300180130,295772884,314074652,298050358,294615838,293757938,298886188,293753186,300566286,323147136,295110096,294421014,296676296,300546712,295699386,297232106,298036838,303531610,295226176,298893432,299961316,296136184,307594150,297934918,298433186,297235824,293910854,301205948,294511402,296776154,298184286,303247079,319641136,295810298,304328888,298467886,309822232,303727138,311254246,297983478,296394586,298831940,298080832
20,387429660,399250874,397764372,387816662,391617946,390671554,390593346,410662562,389498976,390526666,388438942,394764560,402150004,392767064,384918862,391492000,385148874,390602208,414825916,391765602,391376696,390734116,387486866,388654494,400507028,394949694,388225304,399032778,383537292,418434692,388509716,386540738,395536056,388461410,398935840,392383210,387503888,387503766,385358772,393947542,401137406,395936970,388733416,388829016,387804626,400996390,396107580,388022954,394995658,388445048
10,466589696,473489630,463161046,467719054,467481546,464463056,479187730,469524136,478425164,464716640,487570454,470612386,471136816,467485906,481889946,471293522,477938377,471803938,564314636,478434618,469689846,465139734,462076960,473650372,464013888,462271214,464668100,461046410,474944660,466930436,461475626,473320996,468819764,465649140,469588670,481742148,463899012,469168910,469615482,468078896,473833928,463119840,475543824,468731308,465334938,464826102,479431352,475492260,477804750,476557908
