50,17862,55122,19800,19478,18362,21022,19624,19174,18736,19208,20404,20590,20288,20004,18708,18228,18890,25740,19360,18592,18158,18332,18706,19412,20436,20982,19792,21190,20464,19664,19180,21576,19388,19838,21030,21968,18946,20700,20242,18686,20016,19678,19134,18380,21180,20144,19662,18386,19752,17906
40,195647328,188222086,187698630,178122502,184965560,187828024,182667016,182663810,194073068,185826426,185491274,188364556,187488920,184268916,184323986,181618032,181147614,190176514,181796554,182355677,187997876,182967356,183719296,180961814,185721240,183152278,181264830,185823786,183088444,181680620,185460324,195241758,183613320,183177840,183160734,183218010,187705614,188020830,187420622,185198012,184498200,184676698,185157106,184009650,182782070,186308668,185032702,184505266,186870334,183180730
30,314022672,317268168,316854142,314452688,315201646,317365680,316901866,311160336,310019332,315677344,311132628,315346706,332157204,316075742,311968280,316656644,327782914,316887742,313197060,315117642,311451810,312992622,314928866,324248898,313191648,312240800,316198298,310512634,314694268,309386512,323909596,313394568,313282116,321448916,315410238,315069782,314283354,322687328,314706646,310365470,315866512,311036410,313122510,323411292,316326146,310740542,316522134,316869642,315282324,318321156
20,425142438,411971410,419617138,414647738,413300432,425197164,410803484,413257432,413079451,414433176,419625298,409048178,410819566,413166582,411370770,411688650,423606478,410683320,444614638,412043558,408272938,419424460,415743236,413925162,411415646,418457838,417840494,411597178,414139928,415285206,411001070,420667546,415669808,430522706,421835750,412874302,410853856,417344138,412857680,420972900,413972756,412064712,412126442,412234910,419691874,417421854,410957538,412941872,416075046,421112240
10,499972302,496641102,496681282,497613438,494007782,489504892,503065334,494459444,493373480,491134576,505723352,493023636,499044630,493718188,496556504,507031138,499700300,494112656,494016292,491086776,470871514,470601248,474703510,499318272,499409042,495893770,502971856,494793176,506326248,490731932,491095900,490856024,502771738,492625728,493752664,492151854,493893060,488682313,450257370,478521846,458087450,391078180,379334074,379273748,375301054,381510162,379427384,388771268,386569910,417648749
