50,25556,57902,44518,41502,20606,110908,20366,56058,20518,39666
40,112707622,96365520,102560557,99636651,99392880,98836028,98741522,97878781,101271948,99177211
30,144946168,153974292,145133875,146503156,168138592,182772039,200906349,215191935,194538077,198510187
20,208540280,181695470,187262332,191761171,178054228,182231809,187478562,183146732,183678470,182770902
10,18106,16328,17572,19742,19886,21676,80164,16870,20146,18580

writeBackAll = 0
