51,16550,17338,15922,17692,16298,16552,16434,16434,17048,16422,18224,16582,16482,17570,16418,17720,16314,17120,16576,17214,18994,17202,16242,20892,16240,17220,61938,16202,17218,18194,17402,16692,18554,17466,18690,19102,16950,17214,19192,17580,17628,17358,21410,17714,16840,16886,17460,17156,17212,19252,17344,16792,17376,16706,18764,16882,16448,17312,17270,16920
41,182749668,183943938,182484052,182012576,190017144,167317272,175721388,178732698,178094192,178674348,179354684,181304080,180076148,181344682,178332350,182147464,189155634,181753276,177702188,177640758,178295062,177569454,177511950,180680004,177546136,178242716,178726050,182220072,189087670,183655508,180339226,179824258,179856538,178427112,179475810,179895574,180075900,178811214,179260596,178503032,190081068,178671526,181408712,180039284,179281970,179174028,178911930,182249544,178037494,170018834,167918664,170351224,184599616,179455954,184694616,176257334,185753182,186583192,184527944,185720440
31,249848814,248262844,249070574,242610822,230685594,235614820,247934472,247897262,247669492,251488378,247974664,245139490,265988414,253800022,244434246,245379446,245143716,247073050,250842946,246108106,247083500,246101230,234094542,243240422,247788402,246685996,248793286,231467118,232022866,230910066,239207224,256255582,236529918,245259724,244908128,250925778,243145294,240084964,239964282,244661818,241871418,239398982,240480944,238702836,244737486,240792340,238728242,246185216,241873810,235938626,240012950,238911090,239278098,239363628,239366650,239361808,244936394,253511872,242963366,240923686
21,285303522,286257356,285130958,267465680,269127208,275731002,297395592,284262830,283428282,283977856,284940324,287646526,291830680,297519500,287735612,287242020,287642326,295852970,286887282,284746864,297731734,292121382,285143538,285403508,286451838,286410070,285417666,294215236,271064720,273738834,288190562,288833386,290194460,273945280,268658250,278395188,286216532,286844098,288499614,287501960,287803886,278669590,270001324,275694464,271809850,283789722,287795464,288094526,289855070,286831556,290598110,289363526,289568610,280207180,283865820,290045686,290279434,287099552,299091250,295171828
11,519496008,518846282,515747920,521347314,523043070,517577466,518537192,534262946,519349476,518634418,525261986,527608340,522625476,517785062,517817092,535997500,522625318,523445066,523459852,490791192,516863010,521803310,527587664,521615920,513648220,513868324,524283268,527482840,532290036,527139492,521055256,519812222,516137458,502681006,522840524,524497036,531734556,517822478,513105552,528694642,523973646,535679594,524164926,524105438,521568022,527278838,530130312,520908476,523043126,538142380,520377448,522363664,505851826,509145378,521889606,519566546,519122146,528187104,522167000,518890158
