100,73882,73020,74162,74592,72160,155240,75220,74004,75682,75694,73360,77308,122612,117538,79194,149020,76726,72988,75246,72408,76240,75064,74184,74902,72400,76904,72536,75526,72578,73486,76014,77838,75196,117528,77364,81128,100080,72956,74162,75130,77954,76072,78220,76042,73696,75472,72504,73758,75976,74844,74518,73842,73864,74348,75324,75332,74544,72854,72346,74208
90,369205618,2922219764,363215632,351699872,2438491224,476455590,1493515608,2470305844,426010590,376468336,370291632,368516020,379885814,373287536,369076070,372900550,369275176,369863744,381347836,369726946,379612212,1550539494,418318054,373670366,371731770,366709360,362130254,379461156,369418142,375023452,370634910,1178080862,368754494,367639736,369915626,365160142,376440498,376260826,370297658,370822280,369554242,372383868,386560220,378328323,380736696,382687260,382832498,381200328,394194134,379720080,384630190,379964946,379538962,383575426,394191712,380303010,380397700,381513232,379535034,392719194
80,687231080,693861098,689998986,697649124,690522076,688421232,704329729,692382260,691252048,702443498,700455004,695073578,700966750,694242624,689473242,703184658,695640627,703194868,734535992,712527700,717259336,717645302,712440952,707963668,708849632,709404440,714869786,729066752,717737686,704651814,719398796,710108604,714540264,715390156,718230482,711968642,710699270,706561132,716734742,713168260,725008734,712408786,712580872,725830542,715449062,699103530,745540578,724090196,710602372,720027626,714813134,710802202,725959024,714972034,715806928,719415646,718784920,713254840,728885126,712098302
70,991141838,996913334,1022406184,1035782206,995805990,998497594,996455162,1007890976,992287816,990747232,994929866,1001844314,972080464,986870642,1017616126,996825412,1006178392,990324066,983965332,998224454,1010716348,994047650,986562326,984566416,988804728,981961912,990448188,992913766,1000601964,1012136078,994793724,1009569624,996372420,1001242112,972830064,987725954,1003582862,998989770,1008800716,995127270,1005606962,998453696,1012300718,992028416,1001472836,984736942,1007852670,1018270586,997624874,1002410644,1001416216,999416350,972152772,991738662,994012142,999722698,973790566,988459026,1019243058,997608470
60,1255144804,1239151700,1237911342,1267559614,1239081134,1225214282,1242488876,1228565276,1240419026,1240565904,1267380158,1244521870,1256345780,1244443140,1253288766,1223535422,1259796076,1249262660,1246168838,1257896068,1247746456,1284510130,1238812292,1241824282,1260746140,1252584678,1258391246,1242790820,1256324232,1250494974,1251508026,1245660630,1216117674,1258584594,1247547226,1257312632,1240593244,1249657016,1253091102,1242932866,1240418194,1241284712,1266041730,1243646758,1245140440,1261615382,1246705716,1260677862,1241236008,1263249658,1230359684,1296187282,1317072228,1246179634,1249993442,1244521638,1263232240,1237160752,1231997038,1261986058
50,1457775930,1458314254,1457506722,1431886044,1450961878,1463078550,1425853316,1475783896,1467653232,1452937444,1451357228,1474508458,1454956944,1465069586,1468894802,1454006130,1463473924,1458371662,1457525228,1464683540,1467864548,1432376914,1453638768,1466996818,1452939204,1464520468,1463704638,1443894434,1440824172,1468377180,1461707920,1466983336,1472129374,1435105200,1445210116,1461357672,1422037462,1475174150,1474960540,1463795010,1449726788,1478116724,1465081988,1454307520,1460012134,1465764396,1467360692,1468751728,1456967512,1467536272,1466947950,1443104044,1463546462,1470415660,1460494336,1469056010,1470247848,1456463536,1445110652,1466189886
40,1649249536,1648073208,1651514124,1656842904,1634310958,1604784088,1641781196,1652471860,1638167770,1642566972,1648660382,1646355356,1626922672,1660355784,1645379358,1644708060,1641211876,1650304236,1643308604,1630965588,1632411660,1635629226,1646240944,1647343714,1645325310,1641563898,1658480282,1655938912,1634091160,1653188294,1647627420,1642908812,1615079836,1659362762,1641516390,1646137788,1637788236,1655037488,1640136000,1651623020,1649607364,1647848800,1648330170,1652895816,1637517540,1643576190,1647139884,1656176286,1644399478,1657988696,1647052230,1647466858,1635677584,1672786266,1652680458,1649278626,1644592740,1651975942,1631923734,1632219962
30,1805796430,1788574994,1798469900,1819379722,1792595548,1802463324,1802251202,1798037778,1810472956,1807838550,1793122264,1792275594,1798568706,1805542570,1926582782,1807716666,1789181592,1803498316,1799763760,1804622106,1814156036,1807002030,1794528428,1777285932,1792786720,1802721520,1790186942,1791407774,1806431254,1777964224,1805600364,1805552750,1804492754,1807244412,1811742616,1776690576,1785850516,1793408486,1799203622,1781984502,1767099374,1779147520,1789863962,1792075454,1782180472,1742618640,1775589090,1761228308,1797096062,1797092128,1789615682,1785480806,1777006272,1777784358,1792889688,1792843376,1783030814,1775250116,1778715812,1780790012
20,1903181388,1917234422,1911663622,1903135046,1909168660,1902607484,1920489764,1930176964,1921893426,1915288602,1918859594,1940046434,2066193840,2055548306,2028241292,2051222050,1757745090,1306247596,1288939858,1330397080,1318893050,1263509122,1322934030,1205169802,1208835820,1176274818,1214383390,1176750764,1212493086,1176645634,1205816564,1194158048,1291795786,1192717902,1243768026,1240951462,1198504780,1275867754,1245728902,1232990722,1241226402,1246424464,1245469452,1941371302,1924307722,1908251882,1937473564,1923158168,1929976508,1977864098,1997196518,1968506138,1975118938,1967852096,1961271822,1923858386,1937209292,1926059852,1934214950,1936467288
10,2101105946,2112034842,2093857664,2120062832,2100942052,2092658842,2111539054,2095345474,2099337418,2103836638,2089001430,2088124904,2114722036,2089528578,2096815988,2107465484,2108488884,2106143214,2115430136,2127489390,2103356204,2113611240,2091884158,2054891068,2073056356,2095938138,2070969172,2071960240,2062006562,2062376186,2051781114,2069348860,2053941070,2063165518,2066629826,2059993070,2056123928,2069576816,2072205590,2068544850,2086648478,2144641726,2150190660,2101956946,2063974632,2056537316,2074263602,2080140714,2110517074,2098108150,2104584124,2075584488,2108569624,2099256522,2129820086,2117204730,2189805540,2114603516,2114403044,2113316376
