50,59752,33428,91466,57096,24902,20682,23406,19118,19704,44912
40,105118609,92754508,84626788,83567310,77358838,79810850,73678352,79275311,81007734,75962100
30,133976491,130720104,134779592,136307012,133741538,133012557,147489471,143778385,148931226,144832947
20,181593040,174206762,174748036,166936352,174754464,178403164,172106770,167103406,174465523,176242853
10,216242194,206084210,213221142,271878553,269522585,268091295,216111722,221654216,215908614,212426737

writeBackAll = 0
